"A","B","jc1.x","jc2.x","jc3.x","jc4.x","qor","ci_low.x","ci_high.x","jc1.y","jc2.y","jc3.y","jc4.y","aor","ci_low.y","ci_high.y","sfx","share_2x2","sim_q","sim_a","sim_q_low","sim_q_high"
"Achillea_millefolium","Anthoxanthum_odoratum",66,16,267,96,0.394165552854231,-0.199729001973476,0.988060107681938,32,2,49,6,0.67252789335721,-0.988651406618162,2.33370719333258,"no",66,0.0892214459211883,0.650809312433989,0.00533824575184656,0.17310464609053
"Achillea_millefolium","Brachythecium_rutabulum",32,50,114,249,0.334967345441793,-0.1610249509337,0.830959641817285,26,8,36,19,0.539575037051977,-0.428337371665448,1.5074874457694,"no",32,0.146225264927683,0.474887005291189,0.0551874192563249,0.23726311059904
"Achillea_millefolium","Centaurea_nigra",45,37,72,291,1.59240172528153,1.08668159908334,2.09812185147973,19,15,17,38,1.0407615937344,0.15455205430187,1.92697113316693,"yes",45,0.388109763527506,1.02387842432974,0.282569650671852,0.493649876383161
"Achillea_millefolium","Cerastium_fontanum",49,33,183,180,0.378783434692936,-0.108193662469877,0.865760531855748,30,4,45,10,0.510825623765991,-0.737365956970806,1.75901720450279,"no",49,-0.0165659255474724,0.528189025494606,-0.105148639738813,0.0720167886438682
"Achillea_millefolium","Cirsium_arvense",23,59,106,257,-0.0564062371934171,-0.588691236718524,0.475878762331689,19,15,30,25,0.0540672212702758,-0.806173136818213,0.914307579358764,"no",23,0.00895156025081022,0.0233108325766472,-0.0959074503565299,0.11381057085815
"Achillea_millefolium","Dactylis_glomerata",37,45,95,268,0.841365511784221,0.347434201771414,1.33529682179703,26,8,29,26,1.06945570437665,0.116472673140036,2.02243873561327,"yes",37,0.244133647369878,1.10105886079175,0.151051308184942,0.337215986554814
"Achillea_millefolium","Festuca_rubra",56,26,119,244,1.48529988489534,0.971120479055214,1.99947929073547,28,6,27,28,1.57681268511802,0.548732849624618,2.60489252061143,"yes",56,0.329988723280442,1.56022012652766,0.239562332433565,0.420415114127319
"Achillea_millefolium","Hypochaeris_radicata",22,60,38,325,1.14293691373957,0.550012050861258,1.73586177661788,13,21,9,46,1.15184373889099,0.157460254734233,2.14622722304775,"yes",22,0.547332358575953,1.22165794453239,0.421856177336637,0.67280853981527
"Achillea_millefolium","Lathyrus_pratensis",30,52,72,291,0.846610811236165,0.328453319216356,1.36476830325597,20,14,20,35,0.916290731874155,0.0397520846942376,1.79282937905407,"yes",30,0.328425994674925,0.935636494161971,0.225806055487103,0.431045933862747
"Achillea_millefolium","Lolium_perenne",44,38,148,215,0.520029228555423,0.0381283139633288,1.00193014314752,24,10,35,20,0.315852949418477,-0.603965873321451,1.2356717721584,"yes",44,0.065584523436022,0.348345431649115,-0.0299668179344131,0.161135864806457
"Achillea_millefolium","Lotus_corniculatus",53,29,148,215,0.976421837929196,0.477646690073304,1.47519698578509,32,2,40,15,1.79175946922805,0.244828098201316,3.33869084025479,"yes",53,0.18179704951616,1.75448716211522,0.0967265813383598,0.266867517693959
"Achillea_millefolium","Luzula_campestris",40,42,68,295,1.41867748699428,0.911702973635788,1.92565200035278,24,10,16,39,1.76644166124377,0.826851734323925,2.70603158816361,"yes",40,0.534585494980321,1.75503294205744,0.43757976628034,0.631591223680301
"Achillea_millefolium","Phleum_pratense",22,60,90,273,0.10636001599091,-0.43714811440006,0.64986814638188,15,19,31,24,-0.492322152201431,-1.35388200947352,0.36923770507066,"no",22,-0.227466759918843,-0.515106389030628,-0.344961298455294,-0.109972221382392
"Achillea_millefolium","Plantago_lanceolata",29,53,55,308,1.11977051417546,0.583792917269423,1.65574811108149,14,20,14,41,0.717839793150317,-0.195712373381847,1.63139195968248,"yes",29,0.165424104984569,0.721628839001477,0.0372221786152989,0.293626031353839
"Achillea_millefolium","Poa_trivialis",40,42,170,193,0.0781015876851917,-0.401490923659518,0.557694099029901,23,11,43,12,-0.538694522774783,-1.50084592396377,0.423456878414208,"no",40,-0.174940715872751,-0.540614786856815,-0.272189486554127,-0.0776919451913747
"Achillea_millefolium","Prunella_vulgaris",30,52,94,269,0.501370260412563,-0.00565970162995022,1.00840022245508,18,16,30,25,-0.0645385211375712,-0.921999631366808,0.792922589091666,"no",30,-0.108603391720548,-0.0752688445714182,-0.219157425387249,0.00195064194615326
"Achillea_millefolium","Ranunculus_acris",62,20,232,131,0.559862063025942,0.0122078821307988,1.10751624392109,32,2,49,6,0.67252789335721,-0.988651406618162,2.33370719333258,"no",62,0.0424246566951794,0.669967761375284,-0.042696183356577,0.127545496746936
"Achillea_millefolium","Ranunculus_repens",54,28,253,110,-0.176129586546034,-0.684507956294095,0.332248783202028,32,2,48,7,0.847297860387204,-0.786618702149982,2.48121442292439,"no",54,0.0473833060051158,0.790040903214716,-0.0376100062992473,0.132376618309479
"Achillea_millefolium","Rumex_acetosa",55,27,192,171,0.59566450370302,0.0910829100849899,1.10024609732105,32,2,41,14,1.69807398515073,0.145995520325062,3.2501524499764,"yes",55,0.163327176900638,1.7171104529001,0.0783570342962777,0.248297319504999
